STATE,ST_CASE,VE_TOTAL,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,MILEPT,LATITUDE,LONGITUD
North Carolina,370490,2,2,31,0,20,6,2015,0,34.73453333,-76.86465
North Carolina,370491,2,3,35,0,8,6,2015,0,35.76891111,-81.280225
North Carolina,370492,2,2,35,2150,19,6,2015,0,35.74961389,-81.3686
North Carolina,370493,1,1,37,0,7,6,2015,0,35.71663056,-79.49601944
North Carolina,370494,3,4,37,0,8,6,2015,99999,35.78067778,-79.13334444
North Carolina,370495,1,1,45,0,17,6,2015,99999,35.30999167,-81.62458056
North Carolina,370496,2,2,47,0,12,6,2015,99999,34.23658889,-78.67069722
North Carolina,370497,2,2,51,1670,2,6,2015,99999,35.08601111,-78.87993889
North Carolina,370498,2,2,51,1670,9,6,2015,99999,35.06478889,-78.878375
North Carolina,370499,1,1,57,0,11,6,2015,99999,35.94008056,-80.05223889
North Carolina,370500,1,1,59,0,6,6,2015,99999,35.87328889,-80.43536111
North Carolina,370501,2,2,61,0,3,6,2015,99999,34.954475,-77.76610278
North Carolina,370502,2,5,61,0,18,6,2015,99999,34.91785556,-77.72758611
North Carolina,370503,2,2,63,1360,20,6,2015,99999,36.03341111,-78.973475
North Carolina,370504,2,3,65,0,12,6,2015,99999,35.78205833,-77.69709722
North Carolina,370505,2,4,65,4560,14,6,2015,99999,35.88223056,-77.54946389
North Carolina,370506,2,3,67,9997,8,6,2015,99999,36.24563333,-80.35017778
North Carolina,370507,1,1,69,0,28,6,2015,99999,36.15328889,-78.24017222
North Carolina,370508,1,2,71,0,6,6,2015,99999,35.156325,-81.09860833
North Carolina,370509,1,2,71,430,9,6,2015,99999,35.28865556,-81.27610556
North Carolina,370510,2,2,81,2170,3,6,2015,99999,35.93497222,-80.00461944
North Carolina,370511,1,2,81,2170,7,6,2015,99999,36.00150833,-79.97343056
North Carolina,370512,2,2,81,4464,8,6,2015,99999,36.247,-79.97123611
North Carolina,370513,3,2,81,2170,12,6,2015,99999,35.96916944,-79.97469167
North Carolina,370514,1,3,85,0,13,6,2015,99999,35.27838611,-79.09398056
North Carolina,370515,2,2,85,0,17,6,2015,99999,35.42454167,-78.86473611
North Carolina,370516,2,4,87,2835,6,6,2015,99999,35.52443611,-83.02889722
North Carolina,370517,2,3,91,0,3,6,2015,99999,36.252725,-76.98814444
North Carolina,370518,2,3,101,0,11,6,2015,99999,35.51565278,-78.56563611
North Carolina,370519,2,3,101,0,20,6,2015,99999,35.66216111,-78.27980556
North Carolina,370520,1,3,105,0,14,6,2015,99999,35.47950278,-79.28295278
North Carolina,370521,3,9,105,0,14,6,2015,99999,35.51466111,-79.32351389
North Carolina,370522,2,3,105,0,15,6,2015,0,35.44490833,-79.17346667
North Carolina,370523,1,2,107,0,12,6,2015,0,35.17681389,-77.81256944
North Carolina,370524,2,3,109,0,6,6,2015,0,35.45926667,-81.25010833
North Carolina,370525,3,6,119,870,4,6,2015,0,35.16628889,-80.87613056
North Carolina,370526,2,2,119,870,7,6,2015,0,35.29685278,-80.97759444
North Carolina,370527,2,2,119,870,10,6,2015,0,35.23531667,-80.82056111
North Carolina,370528,1,1,119,870,13,6,2015,0,35.06512222,-80.84610278
North Carolina,370529,2,4,119,870,14,6,2015,0,35.21453056,-80.92324722
North Carolina,370530,1,1,119,870,19,6,2015,0,35.22596944,-80.839275
North Carolina,370531,1,1,119,870,19,6,2015,0,35.21467222,-80.92320556
North Carolina,370532,1,2,121,0,1,6,2015,0,35.86634167,-82.04700833
North Carolina,370533,2,3,147,0,5,6,2015,0,35.62491389,-77.26410556
North Carolina,370534,1,2,151,0,5,6,2015,0,35.63962778,-79.71364722
North Carolina,370535,1,1,155,0,7,6,2015,0,34.81830833,-79.18171944
North Carolina,370536,1,1,155,0,15,6,2015,0,34.81193333,-78.98610556
North Carolina,370537,2,2,155,0,23,6,2015,0,34.61805556,-79.01063889
North Carolina,370538,1,2,159,2390,9,6,2015,0,35.51367778,-80.61386944
North Carolina,370539,4,5,159,4070,9,6,2015,0,35.66194444,-80.50035556
North Carolina,370540,1,1,159,4070,23,6,2015,0,35.66202222,-80.46403889
North Carolina,370541,1,1,161,0,22,6,2015,0,35.35352778,-81.92063611
North Carolina,370542,1,4,165,0,10,6,2015,0,34.75689167,-79.47863611
North Carolina,370543,1,2,169,0,18,6,2015,0,36.29559167,-80.13899444
North Carolina,370544,1,1,171,0,10,6,2015,0,36.53588056,-80.69623889
North Carolina,370545,2,3,179,0,8,6,2015,0,34.92306667,-80.73901111
North Carolina,370546,2,3,183,0,7,6,2015,0,35.792225,-78.48586389
North Carolina,370547,1,3,183,0,5,6,2015,0,35.97525278,-78.68971389
North Carolina,370548,1,1,191,0,3,6,2015,0,35.42826944,-78.06391944
North Carolina,370549,1,1,191,0,7,6,2015,0,35.20330278,-77.91491944
North Carolina,370550,1,1,191,0,20,6,2015,0,35.36333333,-78.01078611
North Carolina,370551,2,3,193,0,3,6,2015,0,36.13623889,-81.10336389
North Carolina,370552,3,3,171,1480,1,5,2015,0,36.26909444,-80.85674722
North Carolina,370553,2,5,1,1530,27,6,2015,0,36.08774722,-79.52624722
North Carolina,370554,1,2,1,0,28,6,2015,0,36.19015,-79.39759722
North Carolina,370555,1,1,15,0,23,6,2015,0,36.20176389,-76.76884167
North Carolina,370556,1,4,15,0,26,6,2015,0,36.01290556,-76.95451389
